Name	Spectrum	Select	MDV	Std
Glue	0	1	0.3490487123492367	0.01
Glue	1	1	0.2722209728879897	0.01
Glue	2	1	0.2635584211141139	0.01
Glue	3	1	0.085334545548246	0.01
Glue	4	1	0.024896926624400153	0.01
Glue	5	0	0.004940421476013573	0.01
AKGe	0	1	0.3355367330795001	0.01
AKGe	1	1	0.28557146078240625	0.01
AKGe	2	1	0.2681401876373253	0.01
AKGe	3	1	0.08703773787729123	0.01
AKGe	4	1	0.02371388062347711	0.01
AKGe	5	0	0.0	0.01
OACo	0	1	0.9512083680996201	0.01
OACo	1	1	0.014976393503130778	0.01
OACo	2	1	0.02211708297338731	0.01
OACo	3	0	0.004914627543190573	0.01
OACo	4	0	0.006783527880671324	0.01
OACi	0	1	0.6538928200208002	0.01
OACi	1	1	0.17409181986980227	0.01
OACi	2	1	0.1341259343112388	0.01
OACi	3	1	0.03540557145389144	0.01
OACi	4	0	0.0024838543442672026	0.01
OACt	0	1	0.6103258487222681	0.01
OACt	1	1	0.21538809089017272	0.01
OACt	2	1	0.14329435490000653	0.01
OACt	3	1	0.0219032542621882	0.01
OACt	4	0	0.009088451225364324	0.01
OACc	0	1	0.6210833514001716	0.01
OACc	1	1	0.21321726026261115	0.01
OACc	2	1	0.1280588128383535	0.01
OACc	3	1	0.02875217861338371	0.01
OACc	4	0	0.008888396885480229	0.01
Txt	0	1	0.5297706897629985	0.01
Txt	1	1	0.3278112960010831	0.01
Txt	2	1	0.11239340203787591	0.01
Txt	3	1	0.020751154928611477	0.01
Txt	4	0	0.00927345726943085	0.01
Txc	0	1	0.5324593292009779	0.01
Txc	1	1	0.32395011592655726	0.01
Txc	2	1	0.10830358489451426	0.01
Txc	3	1	0.024449266724881933	0.01
Txc	4	1	0.01083770325306854	0.01
