Name	Spectrum	Select	MDV	Std
Glue	0	1	0.986682566748315	0.01
Glue	1	0	0.0	0.01
Glue	2	0	0.0036882550461055023	0.01
Glue	3	0	0.007998433330388114	0.01
Glue	4	0	0.0	0.01
Glue	5	0	0.0016307448751913794	0.01
AKGe	0	1	0.9813655089008523	0.01
AKGe	1	0	0.006478299153885187	0.01
AKGe	2	0	0.0003549001328937845	0.01
AKGe	3	0	0.0	0.01
AKGe	4	0	0.008528305209726037	0.01
AKGe	5	0	0.0032729866026428764	0.01
OACo	0	1	0.9804836118516055	0.01
OACo	1	0	0.005990542037388726	0.01
OACo	2	0	0.0049399636226367125	0.01
OACo	3	0	0.0011151050305803858	0.01
OACo	4	0	0.007470777457788527	0.01
OACi	0	1	0.9920879517310012	0.01
OACi	1	0	0.00022156284812306846	0.01
OACi	2	0	0.004255735615115442	0.01
OACi	3	0	0.0022792186090160424	0.01
OACi	4	0	0.0011555311967443242	0.01
OACt	0	1	0.9828480922802854	0.01
OACt	1	0	0.0005188570639198016	0.01
OACt	2	0	0.007585620639830727	0.01
OACt	3	0	0.0030977481032100664	0.01
OACt	4	0	0.0059496819127540235	0.01
OACc	0	1	0.9751252494315555	0.01
OACc	1	0	0.007470710840869158	0.01
OACc	2	0	0.0028404983005162372	0.01
OACc	3	0	0.009936411326543453	0.01
OACc	4	0	0.0046271301005156645	0.01
Txt	0	1	0.9860509337887814	0.01
Txt	1	0	0.004040347124475339	0.01
Txt	2	0	0.006539752053344459	0.01
Txt	3	0	0.002089980580247648	0.01
Txt	4	0	0.001278986453151167	0.01
Txc	0	1	0.9898782650128851	0.01
Txc	1	0	0.002803553661651245	0.01
Txc	2	0	0.005772708479299394	0.01
Txc	3	0	0.0014761687919402557	0.01
Txc	4	0	6.930405422408465e-05	0.01
