State,Id,type,flux_calue,flux_std,lb,ub,
reaction,r1,fitting,100,1.592764298,0.0001,1000,SubsGlc --> G6P
reaction,r2,free,1,1,0.0001,1000,G6P --> F6P
reaction,r3,free,1,1,0.0001,1000,F6P --> G6P
reaction,r4,free,1,1,0.0001,1000,F6P --> FBP
reaction,r5,free,1,1,0.0001,1000,FBP --> F6P
reaction,r6,free,1,1,0.0001,1000,FBP --> DHAP + GAP
reaction,r7,free,1,1,0.0001,1000,DHAP + GAP --> FBP
reaction,r8,free,1,1,0.0001,1000,DHAP --> GAP
reaction,r9,free,1,1,0.0001,1000,GAP --> DHAP
reaction,r10,free,1,1,0.0001,1000,GAP --> PGA
reaction,r11,free,1,1,0.0001,1000,PGA --> GAP
reaction,r12,free,1,1,0.0001,1000,PGA --> PEP
reaction,r13,free,1,1,0.0001,1000,PEP --> PGA
reaction,r14,free,1,1,0.0001,1000,PEP --> Pyr
reaction,r15,free,1,1,0.0001,1000,Pyr --> PEP
reaction,r16,free,1,1,0.0001,1000,Pyr --> AcCOA + CO2in
reaction,r17,free,1,1,0.0001,1000,AcCOA + Oxa --> IsoCit
reaction,r18,free,1,1,0.0001,1000,IsoCit --> aKG + CO2in
reaction,r19,free,1,1,0.0001,1000,aKG --> Suc + CO2in
reaction,r20,free,1,1,0.0001,1000,Suc --> Fum
reaction,r21,free,1,1,0.0001,1000,Fum --> Suc
reaction,r22,free,1,1,0.0001,1000,Fum --> Mal
reaction,r23,free,1,1,0.0001,1000,Mal --> Fum
reaction,r24,free,1,1,0.0001,1000,Mal --> Oxa
reaction,r25,free,1,1,0.0001,1000,Oxa --> Mal
reaction,r26,free,1,1,0.0001,1000,IsoCit + AcCOA --> Mal + Suc
reaction,r27,free,1,1,0.0001,1000,G6P --> m6PG
reaction,r28,free,1,1,0.0001,1000,m6PG --> Ru5P + CO2in
reaction,r29,free,1,1,0.0001,1000,Ru5P --> R5P
reaction,r30,free,1,1,0.0001,1000,R5P --> Ru5P
reaction,r31,free,1,1,0.0001,1000,Ru5P --> Xu5P
reaction,r32,free,1,1,0.0001,1000,Xu5P --> Ru5P
reaction,r33,free,1,1,0.0001,1000,R5P + Xu5P --> S7P + GAP
reaction,r34,free,1,1,0.0001,1000,GAP + S7P --> Xu5P + R5P
reaction,r35,free,1,1,0.0001,1000,GAP + S7P --> F6P + E4P
reaction,r36,free,1,1,0.0001,1000,E4P + F6P --> S7P + GAP
reaction,r37,free,1,1,0.0001,1000,E4P + Xu5P --> F6P + GAP
reaction,r38,free,1,1,0.0001,1000,GAP + F6P --> Xu5P + E4P
reaction,r39,free,1,1,0.0001,1000,m6PG --> Pyr + GAP
reaction,r40,free,1,1,0.0001,1000,PEP + CO2in --> Oxa
reaction,r41,free,1,1,0.0001,1000,Oxa --> PEP + CO2in
reaction,r42,free,1,1,0.0001,1000,Mal --> Pyr + CO2in
