Name	Spectrum	Select	MDV	Std
ALA260	0	1	0.5085	0.000127
ALA260	1	1	0.3529	0.0000669
ALA260	2	1	0.1058	0.0000582
ALA260	3	0	0	0
VAL288	0	1	0.3455	0.000223
VAL288	1	1	0.3983	0.000178
VAL288	2	1	0.1845	0.000109
VAL288	3	0	0	0
VAL288	4	0	0	0
VAL288	5	0	0	0
THR404	0	1	0.333	0.000314
THR404	1	1	0.3764	0.000218
THR404	2	1	0.1957	0.000169
THR404	3	0	0	0
THR404	4	0	0	0
ASP418	0	1	0.3343	0.000294
ASP418	1	1	0.3732	0.000346
ASP418	2	1	0.1955	0.000124
ASP418	3	0	0	0
ASP418	4	0	0	0
GLU432	0	1	0.2469	0.000413
GLU432	1	1	0.3648	0.000314
GLU432	2	1	0.2412	0.000314
GLU432	3	0	0	0
GLU432	4	0	0	0
GLU432	5	0	0	0
SER390	0	1	0.4497	0.000331
SER390	1	1	0.3576	0.000209
SER390	2	1	0.1428	0.000177
SER390	3	0	0	0
PHE336	0	1	0.2712	0.000514
PHE336	1	1	0.3816	0.000545
PHE336	2	1	0.2282	0.00039
PHE336	3	0	0	0
PHE336	4	0	0	0
PHE336	5	0	0	0
PHE336	6	0	0	0
PHE336	7	0	0	0
PHE336	8	0	0	0
PHE336	9	0	0	0
GLY246	0	1	0.7407	0.000374
GLY246	1	1	0.1845	0.000299
GLY246	2	0	0	0
TYR466	0	1	0.2344	0.000705
TYR466	1	1	0.353	0.00129
TYR466	2	1	0.2423	0.000804
TYR466	3	0	0	0
TYR466	4	0	0	0
TYR466	5	0	0	0
TYR466	6	0	0	0
TYR466	7	0	0	0
TYR466	8	0	0	0
TYR466	9	0	0	0
TRE361	0	1	0.0613	0.000234
TRE361	1	1	0.604	0.000524
TRE361	2	1	0.207	0.000143
TRE361	3	0	0	0
TRE361	4	0	0	0
TRE361	5	0	0	0
TRE361	6	0	0	0
