Name	Spectrum	Select	MDV	Std
AKGe	0	1	0.15931922147035651	0.01
AKGe	1	1	0.11770323247666585	0.01
AKGe	2	1	0.2689022402365507	0.01
AKGe	3	1	0.22278689216124117	0.01
AKGe	4	1	0.1246121285945333	0.01
AKGe	5	1	0.10667628506065242	0.01
OACe	0	1	0.27443230727493645	0.01
OACe	1	1	0.18019838469132687	0.01
OACe	2	1	0.17218468920494645	0.01
OACe	3	1	0.17755116265722662	0.01
OACe	4	1	0.19563345617156358	0.01
PEPe	0	1	0.4869037153337918	0.01
PEPe	1	1	0.0108911528364616	0.01
PEPe	2	0	0.003310698233109381	0.01
PEPe	3	1	0.4988944335966374	0.01
