Id,Reaction,External ids,template,GN_CRS2_LM,LN_PRAXIS,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,341.79719950337756,2.8485646987485893,2.8293224773143777
Thres,,,12.591587243743977,12.591587243743977,12.591587243743977
p_value,,,8.896322997166135e-71,0.8275994909483236,0.8299436042608184
Id,Reaction,External ids,template,GN_CRS2_LM,LN_PRAXIS,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_SubsGlc,SubsGlc+ATP-->G6P,(kegg:R02848),100.00000000000011,100.00000000000013,100.00000000000013,fixed,100.0,1.0,0.0,1000.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),989.0078379523068,757.2303599932744,753.1642586559987,free,1.0,1.0,0.0,1000.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),915.8310409587067,673.2990593927716,669.3650474584645,free,1.0,1.0,300.0,1000.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),90.85915726386665,94.44399179950095,94.39996199851139,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),344.05580219310536,988.6007365695496,988.5665542502114,free,1.0,1.0,0.0,1000.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),253.19664492923866,894.1567447700485,894.1665922517,free,1.0,1.0,0.0,1000.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),500.6893696785019,439.9470445676453,436.5197836088761,free,1.0,1.0,0.0,1000.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),409.88439847963514,345.55723883314437,342.1740076753647,free,1.0,1.0,300.0,1000.0,ABC-->ABC,no
r9_gapdh,GAP-->PGA+NADH+ATP,(kegg:R01061f),332.59492210442977,672.1313655819694,672.0725461939048,free,1.0,1.0,0.0,1000.0,ABC-->ABC,no
r10_gapdh,PGA+NADH+ATP-->GAP,(kegg:R01061r),142.089613506563,478.04122244846826,478.02643286139335,free,1.0,1.0,0.0,1000.0,ABC-->ABC,no
r11_peph,PGA-->PEP,(kegg:R01512f),270.42957069629415,169.45146157021532,168.34501862663737,free,1.0,1.0,0.0,1000.0,ABC-->ABC,no
r12_peph,PEP-->PGA,(kegg:R01512r),127.39660205146485,31.936855036361763,30.83699197433623,free,1.0,1.0,0.0,1000.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),143.03296864482925,137.51460653385354,137.50802665230114,free,1.0,1.0,0.0,300.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),44.97672273531009,22.834735611962515,22.819018220299824,free,1.0,1.0,0.0,200.0,ABC-->BC+A,no
r17_cs,AcCOAmit+Oxa-->Cit,(kegg:R00351),44.976722735310034,22.834735611962515,22.819018220299824,free,1.0,1.0,0.0,200.0,AB+CDEF-->FEDBAC,no
r18_idh,Cit-->aKG+CO2in+NADH,(kegg:R00709f),308.6262781163861,475.217399942795,472.2345379106838,free,1.0,1.0,0.0,1000.0,ABCDEF-->ABCDE+F,no
r19_idh,aKG+CO2in+NADH-->Cit,(kegg:R00709r),309.8382162931107,473.41959762696854,470.49205204358566,free,1.0,1.0,0.0,1000.0,ABCDE+F-->ABCDEF,no
r20_akgdh,aKG-->Suc+CO2in+ATP+NADH,(kegg:R01197),13.641489394275501,16.651229886826563,16.59591343809824,free,1.0,1.0,0.0,200.0,ABCDE-->BCDE+A,no
r21_sdh,Suc-->Fum+{0.6}NADH,(kegg:R02164f),402.1607325189874,92.64236387246766,92.48226813097409,free,1.0,1.0,0.0,1000.0,ABCD-->ABCD,no
r22_sdh,Fum+{0.6}NADH-->Suc,(kegg:R02164r),388.51924312471186,75.99113398564106,75.88635469287581,free,1.0,1.0,0.0,1000.0,ABCD-->ABCD,no
r23_fh,Fum-->Mal,(kegg:R01082f),434.3209417469459,998.4516661338289,999.999793823905,free,1.0,1.0,0.0,1000.0,ABCD-->ABCD,no
r24_fh,Mal-->Fum,(kegg:R01082r),420.67945235267035,981.8004362470022,983.4038803858066,free,1.0,1.0,0.0,1000.0,ABCD-->ABCD,no
r25_mdh,Mal-->Oxa+NADH,(kegg:R00343f),514.4508203184766,736.8579248168655,739.8543206349208,free,1.0,1.0,0.0,1000.0,ABCD-->ABCD,no
r26_mdh,Oxa+NADH-->Mal,(kegg:R00343r),501.01315805247503,725.5257070593702,728.564314444566,free,1.0,1.0,0.0,1000.0,ABCD-->ABCD,no
r27_pc,Pyr+CO2in+ATP-->Oxa,(kegg:R00344),31.539060469308367,11.502517854467214,11.52901202994508,free,1.0,1.0,0.0,200.0,ABC+D-->ABCD,no
r28_mae,Mal-->Pyr+CO2in+NADPH,(kegg:R00216),43.23877043122184,22.90205251829567,22.962232639228755,free,1.0,1.0,0.0,200.0,ABCD-->ABC+D,no
r29_g6pdh,G6P-->m6PG+NADPH,(kegg:R00835),26.690242241399872,15.935738634497147,16.067828037465834,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r30_pgd,m6PG-->Ru5P+CO2in+NADPH,(kegg:R01528),26.690242241399872,15.935738634497147,16.067828037465834,free,1.0,1.0,0.0,200.0,ABCDEF-->BCDEF+A,no
r31_ri,Ru5P-->R5P,(kegg:R01056f),662.0376044496073,109.40403317032815,106.54247360683368,free,1.0,1.0,0.0,1000.0,ABCDE-->ABCDE,no
r32_ri,R5P-->Ru5P,(kegg:R01056r),653.029722478474,103.98098573482909,101.07539637034506,free,1.0,1.0,0.0,1000.0,ABCDE-->ABCDE,no
r33_rbe,Ru5P-->Xu5P,(kegg:R01529f),341.8705269771207,102.91988112922543,101.73410558085001,free,1.0,1.0,0.0,1000.0,ABCDE-->ABCDE,no
r34_rbe,Xu5P-->Ru5P,(kegg:R01529r),324.18816670685413,92.40718993022733,91.1333547798728,free,1.0,1.0,0.0,1000.0,ABCDE-->ABCDE,no
r35_tkt,R5P+Xu5P-->S7P+GAP,(kegg:R01641f),754.8622389083249,743.026125834566,746.894596720614,free,1.0,1.0,0.0,1000.0,ABCDE+FGHIJ-->FGABCDE+HIJ,no
r36_tkt,GAP+S7P-->Xu5P+R5P,(kegg:R01641r),746.0210587731916,737.769780235067,741.5942213201254,free,1.0,1.0,0.0,1000.0,HIJ+FGABCDE-->FGHIJ+ABCDE,no
r37_tal,GAP+S7P-->F6P+E4P,(kegg:R08575f),306.27093299286,5.402440065163946,5.300375464083058,free,1.0,1.0,0.0,1000.0,ABC+DEFGHIJ-->DEFABC+GHIJ,no
