Id,Reaction,External ids,template,Initial,SLSQP,COBYLA,LN_COBYLA,LN_BOBYQA,LN_NEWUOA,LN_PRAXIS,LN_SBPLX,LN_NELDERMEAD,GN_CRS2_LM,deep,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,60.84738589149465,398.30439338799505,60.50972472122151,60.523867240908174,60.537539651318944,65.20150904469286,129.54428222357188,60.722705995372806,63.380579014367356,60.46141524196268,60.460337076533065,60.46036320152757
Thres,,,84.82064549765667,84.82064549765667,84.82064549765667,84.82064549765667,84.82064549765667,84.82064549765667,84.82064549765667,84.82064549765667,84.82064549765667,84.82064549765667,84.82064549765667,84.82064549765667
p_value,,,0.6230257093519723,2.1979933797539253e-49,0.6347346591692138,0.6342457952931594,0.6337730471832412,0.4696485063043406,3.4747872895086836e-06,0.6273579391841182,0.5337081020953535,0.6364034931774903,0.6364407188439803,0.6364398168399249
Id,Reaction,External ids,template,Initial,SLSQP,COBYLA,LN_COBYLA,LN_BOBYQA,LN_NEWUOA,LN_PRAXIS,LN_SBPLX,LN_NELDERMEAD,GN_CRS2_LM,deep,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
v1,AcCoA+OAC-->Cit,(kegg:R00351),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,fixed,100.0,1.0,0.001,500.0,AB+CDEF-->FEDBAC,no
v2,Cit-->AKG+CO2ex,(kegg:R00709),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,free,100.0,1.0,0.001,500.0,ABCDEF-->ABCDE+F,no
v3,AKG-->Glu,(kegg:R00243),50.0,40.02080297710508,49.87803979761356,49.88294815298521,49.87706628222684,50.16532575669883,51.5560602359346,49.930594814967,50.587280023834296,49.82713265071967,49.85360091751623,49.85372368571229,free,50.0,1.0,0.001,500.0,ABCDE-->ABCDE,no
v4,AKG-->Suc+CO2ex,(kegg:R01197),50.0,59.97919702289492,50.12196020238644,50.11705184701479,50.12293371777316,49.83467424330117,48.4439397640654,50.069405185033,49.412719976165704,50.17286734928033,50.14639908248377,50.14627631428771,free,50.0,1.0,0.001,500.0,ABCDE-->BCDE+A,no
v5,Suc-->Fum,(kegg:R02164),50.0,46.80162627793786,50.12195988992481,50.11705184476759,50.12075410755688,49.83466742524337,48.44393929328985,50.06691812486036,49.412719964887515,50.14596970849961,50.1463984072443,50.146276170052175,free,50.0,1.0,0.001,500.0,ABCD-->ABCD,no
v6,Fum-->OAC,(kegg:R01082),463.0358635439982,430.99006816384247,444.36527463845056,433.9853824130845,428.16009959687244,458.0513414252705,433.13422159826223,354.6398812282107,294.4391517994507,499.9999999990829,499.999999995723,499.95453345699514,free,125.0,1.0,0.001,500.0,ABCD-->ABCD,no
v7,OAC-->Fum,(kegg:R01082),413.0358635439982,384.1884418859046,394.24331474852573,383.8683305683169,378.03934548931556,408.2166740000271,384.69028230497236,304.57296310335033,245.0264318345632,449.8540302905833,449.8536015884787,449.80825728694305,free,75.0,1.0,0.001,500.0,ABCD-->ABCD,no
v8,Asp-->OAC,(kegg:R00355),50.0,53.19837372206214,49.87804011007519,49.88294815523241,49.87924589244312,50.16533257475663,51.55606070671015,49.93308187513964,50.587280035112485,49.85403029150039,49.8536015927557,49.853723829947825,free,0.1,1.0,0.001,500.0,ABCD-->ABCD,no
v9,Suc-->Sucex,noid,0.0,13.177570744957066,3.124616299032823e-07,2.2472050886790385e-09,0.0021796102162809916,6.818057805446642e-06,4.70775546546065e-07,0.002487060172640554,1.1278189049335197e-08,0.02689764078072443,6.752394696718511e-07,1.4423553551523582e-07,fitting,0.0,1.0,0.0,30.0,nd,no
e1,Glu-->Gluex,noid,50.0,40.02080297710508,49.87803979761356,49.88294815298521,49.87706628222684,50.16532575669883,51.5560602359346,49.930594814967,50.587280023834296,49.82713265071967,49.85360091751623,49.85372368571229,free,50.0,1.0,0.001,500.0,nd,no
v10,OAC-->OACx,noid,91.98205544939671,83.25359677702681,92.46692755876941,92.47263164413627,92.39281591612198,95.0054193321702,85.31018117052388,92.50380693169546,92.95412041049545,92.4311632879373,92.4524013355566,92.45248594644711,pseudo,1.0,1.0,0.001,500.0,ABCD-->ABCD,no
v11,OACs-->OACx,noid,8.017944550603287,16.74640322297319,7.53307244123058,7.52736835586373,7.607184083878023,4.994580667829795,14.68981882947613,7.496193068304537,7.045879589504551,7.568836712062699,7.547598664443402,7.5475140535528835,free,0.0,1.0,0.01,100.0,ABCD-->ABCD,no
v12,OACx-->OACe,noid,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,fixed,100.0,5.0,0.001,100.0,nd,no
v13,OAC+OAC-->Fumx,noid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,pseudo,1.0,1.0,0.001,500.0,ABCD+EFGH-->EFAB,no
v14,OA-->Fume,noid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,fixed,1.0,1.0,0.001,100.0,nd,no
v15,OAC+Fum+Suc-->Tx,noid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pseudo,1.0,1.0,0.001,500.0,ABCD+EFGH+IJKL-->CDHL,no
v16,Tx-->Te,noid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,fixed,1.0,1.0,0.001,100.0,nd,no
v17,Fumx-->{2}OA,noid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,free,0.0,1.0,0.01,100.0,ABCD-->AB+CD,no
FUM,v6<=>v7,(kegg:R01082),50.0,46.80162627793786,50.12195988992481,50.11705184476759,50.12075410755688,49.83466742524337,48.44393929328985,50.06691812486036,49.412719964887515,50.14596970849961,50.1463984072443,50.146276170052175,free,0.1,1.0,0.001,100.0,,
Input,v9+e1<=>nothing,(kegg:R01082),50.0,53.19837372206214,49.87804011007519,49.88294815523241,49.87924589244312,50.16533257475663,51.55606070671015,49.93308187513964,50.587280035112485,49.85403029150039,49.8536015927557,49.853723829947825,free,0.0,1.0,-300.0,300.0,,
Experiment,Fragment_Num,Time,template,Initial,SLSQP,COBYLA,LN_COBYLA,LN_BOBYQA,LN_NEWUOA,LN_PRAXIS,LN_SBPLX,LN_NELDERMEAD,GN_CRS2_LM,deep,Use,Ratio,Stdev
ex1,AKGe_0,0,0.33719226830097626,0.3486325472273102,0.3367490645339316,0.3367669104929681,0.33675344891224035,0.3377922583703332,0.34280170120104697,0.3369491514871219,0.33931918478864764,0.33666175116280317,0.3366601919864097,0.33666063656346573,1,0.33167836240097104,0.01
ex1,AKGe_1,0,0.27291236549768705,0.272914921762617,0.2729085592499511,0.27290871782220194,0.27290859824911284,0.2729170801169755,0.27293671296644306,0.27291031163776786,0.2729268021913228,0.27290777699545604,0.2729077629296342,0.27290776694065033,1,0.2594158077549309,0.01
ex1,AKGe_2,0,0.2710949951944661,0.26950224936817424,0.27115622229102354,0.27115375764578853,0.27115561678487154,0.27101204995597794,0.27031693855654526,0.27112858552684826,0.2708006590740762,0.27116827998198567,0.27116849528609704,0.2711684338952268,1,0.27653884597592476,0.01
ex1,AKGe_3,0,0.08547924334023502,0.07912480285818976,0.08572658370829345,0.08571662266345026,0.08572413647513574,0.08514454351130832,0.08235628922946199,0.08561490964768283,0.08429347942222637,0.08577532128339124,0.08577619163303658,0.08577594346505733,1,0.08578569663115328,0.01
ex1,AKGe_4,0,0.029245750175912424,0.02638440231186396,0.02935845424154166,0.029353913465657036,0.029357338647383477,0.02909339534892865,0.027831218216516608,0.02930755630933565,0.028706802707176644,0.02938067371157121,0.02938107053858033,0.029380957388808103,1,0.02987527858721441,0.01
ex1,AKGe_5,0,0.004075377490723151,0.0034410764718448604,0.004101115975259124,0.004100077909934262,0.004100860931255946,0.0040406726964752025,0.003757139829985626,0.0040894853912437105,0.003953071816550212,0.004106196864792777,0.004106287626241576,0.004106261746790494,1,0.016706008649805638,0.01
ex1,Glue_0,0,0.33719226830097626,0.34863254722731024,0.33674906453393166,0.33676691049296803,0.33675344891224035,0.3377922583703333,0.34280170120104697,0.33694915148712196,0.3393191847886477,0.3366617511628031,0.33666019198640973,0.33666063656346573,1,0.3474333365753822,0.01
ex1,Glue_1,0,0.27291236549768705,0.272914921762617,0.2729085592499511,0.27290871782220194,0.27290859824911284,0.2729170801169755,0.272936712966443,0.2729103116377679,0.27292680219132287,0.27290777699545604,0.2729077629296342,0.27290776694065033,1,0.2604442985779218,0.01
ex1,Glue_2,0,0.2710949951944661,0.26950224936817424,0.27115622229102354,0.27115375764578853,0.27115561678487154,0.27101204995597794,0.27031693855654526,0.2711285855268483,0.27080065907407624,0.27116827998198567,0.27116849528609704,0.27116843389522677,1,0.2729959692291069,0.01
ex1,Glue_3,0,0.08547924334023502,0.07912480285818976,0.08572658370829345,0.08571662266345026,0.08572413647513574,0.08514454351130832,0.08235628922946198,0.08561490964768284,0.08429347942222638,0.08577532128339123,0.08577619163303658,0.08577594346505733,1,0.08544540639052857,0.01
ex1,Glue_4,0,0.029245750175912424,0.026384402311863963,0.02935845424154166,0.029353913465657036,0.029357338647383473,0.029093395348928654,0.027831218216516608,0.029307556309335656,0.02870680270717665,0.02938067371157121,0.02938107053858033,0.029380957388808103,1,0.03368098922706056,0.01
ex1,Glue_5,0,0.004075377490723151,0.003441076471844861,0.004101115975259124,0.004100077909934262,0.004100860931255946,0.0040406726964752025,0.0037571398299856254,0.004089485391243711,0.003953071816550213,0.004106196864792777,0.004106287626241576,0.004106261746790494,0,0.0,0.01
ex1,OACc_0,0,0.6214705977373587,0.6488163723429188,0.6204137437079422,0.6204562945494674,0.6204241975252213,0.6229016667152641,0.6348643901094945,0.6208908395563564,0.6265453626470332,0.6202055640707572,0.620201846633667,0.6202029066079,1,0.614195624366946,0.01
ex1,OACc_1,0,0.2179458117914913,0.20485261088703266,0.21844077785771546,0.21842086612186237,0.21843588610517356,0.2172742303235427,0.21160037651364452,0.21821744082134342,0.21555730512831486,0.21853817588827804,0.2185399148109401,0.21853941898299087,1,0.22485014457570104,0.01
ex1,OACc_2,0,0.13488917712038537,0.12466708789199815,0.1352863189327762,0.1352703260797468,0.13528238981123986,0.13435167717770652,0.12987000845202923,0.13510701656222343,0.13298447788386206,0.1353645677263498,0.13536596506381537,0.13536556663273075,1,0.13596013205728966,0.01
ex1,OACc_3,0,0.0203018540158681,0.017128096507892716,0.020431484572017444,0.02042625512578394,0.020430199730641665,0.020127170079332936,0.018704536149548364,0.020372899519383012,0.01968677353978792,0.020457082050054143,0.020457539328957185,0.020457408941719112,1,0.020521460102113833,0.01
ex1,OACc_4,0,0.005392559334896699,0.004535832370157797,0.005427674929549048,0.005426258123139538,0.005427326827723397,0.005345255704151565,0.0049606887752823734,0.0054118035406938644,0.0052260808010017685,0.005434610264560807,0.00543473416261939,0.005434698834657274,0,0.004472638897949452,0.01
ex1,OACi_0,0,0.6529178461398598,0.6774048020768031,0.6519677599259549,0.6520060179106524,0.6519771591268594,0.6542038667563135,0.6649335464956222,0.6523966947277724,0.6574758214585033,0.6517805760069468,0.6517772333812656,0.6517781864837456,1,0.6557128542645825,0.01
ex1,OACi_1,0,0.1728551685453403,0.16335473004119216,0.17321895611399324,0.1732043141976788,0.17321535895077061,0.17236217140160406,0.1682230672818662,0.1730547623351117,0.1711048617661813,0.17329058573453535,0.17329186472746633,0.1732915000411651,1,0.16342286155941388,0.01
ex1,OACi_2,0,0.1307745636059724,0.12175455590499511,0.13112184233021063,0.1311078618509856,0.13111840764245278,0.13030418602622357,0.12636557566164733,0.13096508041392085,0.1291058205934526,0.1311902398069965,0.1311914611433298,0.13119111289677365,1,0.13404337038100914,0.01
ex1,OACi_3,0,0.038014017173141644,0.03309308408388262,0.038209838136266105,0.038201945911116954,0.038207899124872546,0.03774952898392151,0.03556870388113662,0.038121386589019014,0.03707958296112754,0.03824846060523069,0.03824915042995532,0.038248953735731006,1,0.046820913794994465,0.01
ex1,OACi_4,0,0.005438404535685757,0.004392827893127032,0.005481603493575985,0.0054798601295662445,0.005481175155044522,0.005380246831936344,0.0049091066797266715,0.005462075934176072,0.0052339132207351756,0.005490137846290751,0.005490290317981975,0.005490246842583375,0,0.0,0.01
ex1,OACo_0,0,0.6807467007814055,0.7314278946989701,0.6781852806895701,0.678200806798756,0.6784518972860211,0.6714749335774056,0.7141542014737662,0.6784537096027866,0.6816096626434768,0.6781367356086663,0.6780596902638691,0.6780602767964216,1,0.6864385612712084,0.01
ex1,OACo_1,0,0.15899573697852307,0.13599868826469483,0.16017024666798269,0.16016658745977191,0.1600385477338354,0.1637534037101279,0.14351140346877236,0.16008224323657616,0.15904901923434797,0.16017450426291135,0.16021249025970705,0.1602122997219455,1,0.16100728784250895,0.01
