Name	Spectrum	Select	MDV	Std
Glue	0	1	0.3474333365753822	0.01
Glue	1	1	0.2604442985779218	0.01
Glue	2	1	0.2729959692291069	0.01
Glue	3	1	0.08544540639052857	0.01
Glue	4	1	0.03368098922706056	0.01
Glue	5	0	0.0	0.01
AKGe	0	1	0.33167836240097104	0.01
AKGe	1	1	0.2594158077549309	0.01
AKGe	2	1	0.27653884597592476	0.01
AKGe	3	1	0.08578569663115328	0.01
AKGe	4	1	0.02987527858721441	0.01
AKGe	5	1	0.016706008649805638	0.01
OACo	0	1	0.6864385612712084	0.01
OACo	1	1	0.16100728784250895	0.01
OACo	2	1	0.12298604990064155	0.01
OACo	3	1	0.02956810098564102	0.01
OACo	4	0	0.0	0.01
OACi	0	1	0.6557128542645825	0.01
OACi	1	1	0.16342286155941388	0.01
OACi	2	1	0.13404337038100914	0.01
OACi	3	1	0.046820913794994465	0.01
OACi	4	0	0.0	0.01
OACt	0	1	0.612974757601495	0.01
OACt	1	1	0.2235737744133983	0.01
OACt	2	1	0.1289350821282741	0.01
OACt	3	1	0.015572244528406625	0.01
OACt	4	1	0.01894414132842605	0.01
OACc	0	1	0.614195624366946	0.01
OACc	1	1	0.22485014457570104	0.01
OACc	2	1	0.13596013205728966	0.01
OACc	3	1	0.020521460102113833	0.01
OACc	4	0	0.004472638897949452	0.01
Txt	0	1	0.5516007828556806	0.01
Txt	1	1	0.30700769253172033	0.01
Txt	2	1	0.12051580689924207	0.01
Txt	3	1	0.020875717713357066	0.01
Txt	4	0	0.0	0.01
Txc	0	1	0.5354933581277486	0.01
Txc	1	1	0.3191786558414388	0.01
Txc	2	1	0.10071210105867497	0.01
Txc	3	1	0.0360279046029811	0.01
Txc	4	0	0.008587980369156678	0.01
