State,Id,type,value,stdev,lb,ub
reaction,v1,fixed,100,1,0.001,500
reaction,v2,free,100,1,0.001,500
reaction,v3,free,50,1,0.001,500
reaction,v4,free,50,1,0.001,500
reaction,v5,free,50,1,0.001,500
reaction,v6,free,125,1,0.001,500
reaction,v7,free,75,1,0.001,500
reaction,v8,free,50,1,0.001,500
reaction,v9,fixed,0,1,0,500
reaction,e1,free,50,1,0.001,500
reaction,v10,pseudo,1,1,0.001,500
reaction,v11,free,0,1,0.01,100
reaction,v12,fixed,100,5,0.001,100
reaction,v13,pseudo,1,1,0.001,500
reaction,v14,fixed,1,1,0.001,100
reaction,v15,pseudo,1,1,0.001,500
reaction,v16,fixed,1,1,0.001,100
reaction,v17,free,0,1,0.01,100
metabolite,CO2ex,fixed,10,1,0.001,100
metabolite,AcCoA,fixed,10,1,0.001,100
metabolite,OA,fixed,10,1,0.001,100
metabolite,OAC,fixed,10,1,0.001,100
metabolite,OACs,fixed,10,1,0.001,100
metabolite,OACx,fixed,10,1,0.001,100
metabolite,OACe,fixed,10,1,0.001,100
metabolite,Fumx,fixed,10,1,0.001,100
metabolite,Fume,fixed,10,1,0.001,100
metabolite,Tx,fixed,10,1,0.001,100
metabolite,Te,fixed,10,1,0.001,100
metabolite,Cit,fixed,100,1,0.001,100
metabolite,AKG,fixed,100,1,0.001,100
metabolite,Suc,fixed,100,1,0.001,100
metabolite,Fum,fixed,100,1,0.001,100
metabolite,Glu,fixed,100,1,0.001,100
metabolite,Gluex,fixed,100,1,0.001,100
metabolite,Sucex,fixed,100,1,0.001,100
metabolite,Asp,fixed,10,1,0.001,100
reversible,FUM,fixed,50,1,0.001,100
