Name	Spectrum	Select	MDV	Std
#The MDV file contains MDV data of measured fragments with the following format.
#1 Name: ID of the target fragment. The ID must be specified in the model description file.
#2 Spectrum: The values 0, 1, ... correspond to m0, m1, ... signals in the mass spec data of the target fragment.
#3 Selection: 0 or 1.  A data point with 0/1 is used/ignored for the calculation of MDV.
#4 MDV: Relative abundance of mass signals
#5 Std: Standard deviation level of MDV measurement
#
Ala[M-57]	0	1	0.31367837	0.01
Ala[M-57]	1	1	0.400545455	0.01
Ala[M-57]	2	1	0.024866841	0.01
Ala[M-57]	3	1	0.260909333	0.01
Ala[M-85]	0	1	0.698099329	0.01
Ala[M-85]	1	1	0.033802571	0.01
Ala[M-85]	2	1	0.2680981	0.01
Asp[M-57]	0	1	0.374679462	0.01
Asp[M-57]	1	1	0.256476045	0.01
Asp[M-57]	2	1	0.208115547	0.01
Asp[M-57]	3	1	0.097931713	0.01
Asp[M-57]	4	1	0.062797233	0.01
Asp[M-85]	0	1	0.454039175	0.01
Asp[M-85]	1	1	0.298648801	0.01
Asp[M-85]	2	1	0.157820965	0.01
Asp[M-85]	3	1	0.089491059	0.01
Asp[f302]	0	1	0.586664606	0.01
Asp[f302]	1	1	0.203638533	0.01
Asp[f302]	2	1	0.20969686	0.01
Glu[M-57]	0	1	0.323501128	0.01
Glu[M-57]	1	1	0.225177896	0.01
Glu[M-57]	2	1	0.238705101	0.01
Glu[M-57]	3	1	0.144459233	0.01
Glu[M-57]	4	1	0.044467606	0.01
Glu[M-57]	5	1	0.023689036	0.01
Glu[M-85]	0	1	0.41569727	0.01
Glu[M-85]	1	1	0.212567137	0.01
Glu[M-85]	2	1	0.256652222	0.01
Glu[M-85]	3	1	0.077969162	0.01
Glu[M-85]	4	1	0.037114209	0.01
Glu[M-159]	0	1	0.417074374	0.01
Glu[M-159]	1	1	0.212204607	0.01
Glu[M-159]	2	1	0.256256909	0.01
Glu[M-159]	3	1	0.077501684	0.01
Glu[M-159]	4	1	0.036962425	0.01
Phe[M-57]	0	1	0.16950361	0.01
Phe[M-57]	1	1	0.165131634	0.01
Phe[M-57]	2	1	0.122159521	0.01
Phe[M-57]	3	1	0.215035389	0.01
Phe[M-57]	4	1	0.130114599	0.01
Phe[M-57]	5	1	0.081311905	0.01
Phe[M-57]	6	1	0.073110586	0.01
Phe[M-57]	7	1	0.024107141	0.01
Phe[M-57]	8	1	0.013860263	0.01
Phe[M-57]	9	1	0.005665351	0.01
Phe[M-85]	0	1	0.233205404	0.01
Phe[M-85]	1	1	0.140747737	0.01
Phe[M-85]	2	1	0.194078411	0.01
Phe[M-85]	3	1	0.189150054	0.01
Phe[M-85]	4	1	0.095494857	0.01
Phe[M-85]	5	1	0.090179642	0.01
Phe[M-85]	6	1	0.03655492	0.01
Phe[M-85]	7	1	0.014784979	0.01
Phe[M-85]	8	1	0.005803996	0.01
Phe[M-159]	0	1	0.232721304	0.01
Phe[M-159]	1	1	0.141985292	0.01
Phe[M-159]	2	1	0.193124953	0.01
Phe[M-159]	3	1	0.188917312	0.01
Phe[M-159]	4	1	0.095821507	0.01
Phe[M-159]	5	1	0.090212835	0.01
Phe[M-159]	6	1	0.036271814	0.01
Phe[M-159]	7	1	0.014932647	0.01
Phe[M-159]	8	1	0.006012335	0.01
Phe[f302]	0	1	0.507858757	0.01
Phe[f302]	1	1	0.228213153	0.01
Phe[f302]	2	1	0.26392809	0.01
Gly[M-57]	0	1	0.63415453	0.01
Gly[M-57]	1	1	0.105439424	0.01
Gly[M-57]	2	1	0.260406046	0.01
Gly[M-85]	0	1	0.720080349	0.01
Gly[M-85]	1	1	0.279919651	0.01
Ile[M-85]	0	1	0.318238156	0.01
Ile[M-85]	1	1	0.22060164	0.01
Ile[M-85]	2	1	0.240230678	0.01
Ile[M-85]	3	1	0.148579067	0.01
Ile[M-85]	4	1	0.047072144	0.01
Ile[M-85]	5	1	0.025278315	0.01
Ile[M-159]	0	1	0.31739467	0.01
Ile[M-159]	1	1	0.219946367	0.01
Ile[M-159]	2	1	0.242840267	0.01
Ile[M-159]	3	1	0.148070198	0.01
Ile[M-159]	4	1	0.047327278	0.01
Ile[M-159]	5	1	0.02442122	0.01
Ser[M-57]	0	1	0.593577542	0.01
Ser[M-57]	1	1	0.132494992	0.01
Ser[M-57]	2	1	0.073149975	0.01
Ser[M-57]	3	1	0.200777492	0.01
Ser[M-85]	0	1	0.657164431	0.01
Ser[M-85]	1	1	0.134551881	0.01
Ser[M-85]	2	1	0.208283688	0.01
Ser[M-159]	0	1	0.655469518	0.01
Ser[M-159]	1	1	0.138312896	0.01
Ser[M-159]	2	1	0.206217586	0.01
Val[M-57]	0	1	0.221245254	0.01
Val[M-57]	1	1	0.299586024	0.01
Val[M-57]	2	1	0.106655242	0.01
Val[M-57]	3	1	0.289867222	0.01
Val[M-57]	4	1	0.01353887	0.01
Val[M-57]	5	1	0.069107388	0.01
Val[M-85]	0	1	0.49366649	0.01
Val[M-85]	1	1	0.04511717	0.01
Val[M-85]	2	1	0.37365704	0.01
Val[M-85]	3	1	0.015301742	0.01
Val[M-85]	4	1	0.072257558	0.01
Tyr[f302]	0	1	0.507550472	0.01
Tyr[f302]	1	1	0.227225925	0.01
Tyr[f302]	2	1	0.265223603	0.01
Thr[M-57]	0	1	0.371284107	0.01
Thr[M-57]	1	1	0.257298923	0.01
Thr[M-57]	2	1	0.207826611	0.01
Thr[M-57]	3	1	0.09986252	0.01
Thr[M-57]	4	1	0.063727839	0.01
Thr[M-85]	0	1	0.453901514	0.01
Thr[M-85]	1	1	0.29645984	0.01
Thr[M-85]	2	1	0.161505899	0.01
Thr[M-85]	3	1	0.088132746	0.01
