Name	Spectrum	Select	MDV	Std
AKGe	0	1	0.5463073302383148	0.01
AKGe	1	1	0.06762646867384904	0.01
AKGe	2	1	0.2861592778943347	0.01
AKGe	3	1	0.056546025856399236	0.01
AKGe	4	1	0.033809291792504526	0.01
AKGe	5	0	0.009551605544597707	0.01
OACe	0	1	0.6451229034403322	0.01
OACe	1	1	0.097570306011796	0.01
OACe	2	1	0.03953095409556126	0.01
OACe	3	1	0.1584322610076869	0.01
OACe	4	1	0.05934357544462363	0.01
PEPe	0	1	0.5018908931523226	0.01
PEPe	1	1	0.019999857424751025	0.01
PEPe	2	0	0.0	0.01
PEPe	3	1	0.4781092494229264	0.01
