Name	Spectrum	Select	MDV	Std
Glue	0	1	0.33402554049409167	0.01
Glue	1	1	0.2626212836239868	0.01
Glue	2	1	0.26845403589112443	0.01
Glue	3	1	0.09508353262927594	0.01
Glue	4	1	0.03585981644942739	0.01
Glue	5	0	0.0039557909120938005	0.01
AKGe	0	1	0.33407678768664006	0.01
AKGe	1	1	0.28721896689853166	0.01
AKGe	2	1	0.28302453282432505	0.01
AKGe	3	1	0.08569417332934659	0.01
AKGe	4	0	0.00712841981151368	0.01
AKGe	5	0	0.0028571194496429747	0.01
OACo	0	1	0.8658203237289062	0.01
OACo	1	1	0.05508062408234632	0.01
OACo	2	1	0.048257199268999386	0.01
OACo	3	1	0.021719606551976484	0.01
OACo	4	0	0.009122246367771827	0.01
OACi	0	1	0.6427297222815095	0.01
OACi	1	1	0.17598446959561756	0.01
OACi	2	1	0.1238333113879668	0.01
OACi	3	1	0.057452496734906204	0.01
OACi	4	0	0.0	0.01
OACt	0	1	0.6250687545118143	0.01
OACt	1	1	0.22718191494481776	0.01
OACt	2	1	0.13038086938950488	0.01
OACt	3	1	0.01736846115386308	0.01
OACt	4	0	0.0	0.01
OACc	0	1	0.5998173639504856	0.01
OACc	1	1	0.21373591454313987	0.01
OACc	2	1	0.13261573662382792	0.01
OACc	3	1	0.0460150550973674	0.01
OACc	4	0	0.007815929785179185	0.01
Txt	0	1	0.54374481020999	0.01
Txt	1	1	0.31296506336459357	0.01
Txt	2	1	0.10097723908965195	0.01
Txt	3	1	0.030015253649360408	0.01
Txt	4	1	0.01229763368640438	0.01
Txc	0	1	0.5456249641625693	0.01
Txc	1	1	0.32050007202448305	0.01
Txc	2	1	0.10128554394996168	0.01
Txc	3	1	0.03234902807744131	0.01
Txc	4	0	0.00024039178554459485	0.01
